descripcion,valor
Walmart,620
Soriana,340
Starbucks,65
Subway,90
Costco,480
La Comer,210
Vips,150
Uber,180
DiDi,120
Gasolina Pemex,500
Metro CDMX,40
Metrobús,35
Caseta CAPUFE,60
Farmacias Guadalajara,90
Salud Digna,150
Dentista,400
Ópticas Devlyn,220
Renta,4500
Home Depot,300
Mantenimiento,200
Coursera,250
Platzi,300
Compra Libros,180
CFE,320
Telmex,450
Telcel,280
Cinépolis,150
Steam,200
Museo,80
Netflix,199
Spotify,115
Google One,50
CETES,1500
Nu Ahorro,2000
AFORE,800
Pago TDC BBVA,600
GNP Seguros,350
Seguro Auto Qualitas,400
Zara,450
H&M,280
Petco,180
Veterinario,250
OXXO,60
Transferencia SPEI,300
